retrofit,heating_system,baseline_heating_btu,post_retrofit_btu,intensity_reduction_pct,retrofit_cost,hp_cost,total_capital,retrofit_annual,hp_annual_capital,annual_op_cost,total_annual_cost,annual_emissions_kg,annual_emissions_tons,household_id,envelope_class,hdd,heated_sqft,scenario_id
No Retrofit,Standard Heat Pump,30494.624999999378,30494.624999999378,0.0,0.0,12000.0,12000.0,0.0,1156.1074513109318,0.6476422727967656,1156.7550935837285,1.8133983638309434,0.0018133983638309434,112786,medium,5860,1200,none_standard_hp
No Retrofit,Cold Climate Heat Pump,30494.624999999378,30494.624999999378,0.0,0.0,18000.0,18000.0,0.0,1734.1611769663978,0.5216418306184064,1734.6828187970161,1.460597125731538,0.001460597125731538,112786,medium,5860,1200,none_cold_climate_hp
Air Sealing,Gas Furnace,30494.624999999378,27445.162499999442,10.0,600.0,0.0,600.0,48.14555231441477,0.0,0.41167743749999164,48.55722975191476,1.818242015624963,0.001818242015624963,112786,medium,5860,1200,air_seal_none
Air Sealing,Standard Heat Pump,30494.624999999378,27445.162499999442,10.0,600.0,12000.0,12600.0,48.14555231441477,1156.1074513109318,0.582878045517089,1204.8358816708637,1.632058527447849,0.0016320585274478489,112786,medium,5860,1200,air_seal_standard_hp
Air Sealing,Cold Climate Heat Pump,30494.624999999378,27445.162499999442,10.0,600.0,18000.0,18600.0,48.14555231441477,1734.1611769663978,0.4694776475565658,1782.776206928369,1.3145374131583842,0.0013145374131583842,112786,medium,5860,1200,air_seal_cold_climate_hp
Attic Insulation,Gas Furnace,30494.624999999378,25920.431249999467,15.0,1800.0,0.0,1800.0,117.09258314449782,0.0,0.3888064687499919,117.48138961324781,1.7172285703124643,0.0017172285703124643,112786,medium,5860,1200,attic_insulation_none
Attic Insulation,Standard Heat Pump,30494.624999999378,25920.431249999467,15.0,1800.0,12000.0,13800.0,117.09258314449782,1156.1074513109318,0.5504959318772505,1273.750530387307,1.5413886092563016,0.0015413886092563015,112786,medium,5860,1200,attic_insulation_standard_hp
Attic Insulation,Cold Climate Heat Pump,30494.624999999378,25920.431249999467,15.0,1800.0,18000.0,19800.0,117.09258314449782,1734.1611769663978,0.4433955560256454,1851.6971556669214,1.241507556871807,0.0012415075568718071,112786,medium,5860,1200,attic_insulation_cold_climate_hp
No Retrofit,Gas Furnace,57854.544999999955,57854.544999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.8678181749999992,0.8678181749999992,3.8328636062499966,0.0038328636062499965,101594,medium,6201,900,none_none
No Retrofit,Standard Heat Pump,57854.544999999955,57854.544999999955,0.0,0.0,12000.0,12000.0,0.0,1156.1074513109318,1.2717147933763178,1157.379166104308,3.56080142145369,0.00356080142145369,101594,medium,6201,900,none_standard_hp
No Retrofit,Cold Climate Heat Pump,57854.544999999955,57854.544999999955,0.0,0.0,18000.0,18000.0,0.0,1734.1611769663978,1.017371834701054,1735.1785488010987,2.848641137162952,0.002848641137162952,101594,medium,6201,900,none_cold_climate_hp
Air Sealing,Gas Furnace,57854.544999999955,52069.090499999955,10.0,450.0,0.0,450.0,36.10916423581108,0.0,0.7810363574999992,36.89020059331108,3.4495772456249965,0.0034495772456249966,101594,medium,6201,900,air_seal_none
Air Sealing,Standard Heat Pump,57854.544999999955,52069.090499999955,10.0,450.0,12000.0,12450.0,36.10916423581108,1156.1074513109318,1.144543314038686,1193.3611588607814,3.2047212793083206,0.0032047212793083206,101594,medium,6201,900,air_seal_standard_hp
Air Sealing,Cold Climate Heat Pump,57854.544999999955,52069.090499999955,10.0,450.0,18000.0,18450.0,36.10916423581108,1734.1611769663978,0.9156346512309487,1771.1859758534397,2.5637770234466566,0.0025637770234466567,101594,medium,6201,900,air_seal_cold_climate_hp
Attic Insulation,Gas Furnace,57854.544999999955,49176.363249999966,15.0,1350.0,0.0,1350.0,87.81943735837336,0.0,0.7376454487499995,88.55708280712336,3.2579340653124977,0.0032579340653124977,101594,medium,6201,900,attic_insulation_none
Attic Insulation,Standard Heat Pump,57854.544999999955,49176.363249999966,15.0,1350.0,12000.0,13350.0,87.81943735837336,1156.1074513109318,1.0809575743698703,1245.007846243675,3.0266812082356367,0.003026681208235637,101594,medium,6201,900,attic_insulation_standard_hp
Attic Insulation,Cold Climate Heat Pump,57854.544999999955,49176.363249999966,15.0,1350.0,18000.0,19350.0,87.81943735837336,1734.1611769663978,0.8647660594958961,1822.845380384267,2.421344966588509,0.002421344966588509,101594,medium,6201,900,attic_insulation_cold_climate_hp
No Retrofit,Gas Furnace,74254.86599999949,74254.86599999949,0.0,0.0,0.0,0.0,0.0,0.0,1.113822989999992,1.113822989999992,4.919384872499966,0.004919384872499965,115384,medium,6503,1200,none_none
No Retrofit,Standard Heat Pump,74254.86599999949,74254.86599999949,0.0,0.0,12000.0,12000.0,0.0,1156.1074513109318,1.6322142291910788,1157.7396655401228,4.570199841735021,0.004570199841735021,115384,medium,6503,1200,none_standard_hp
No Retrofit,Cold Climate Heat Pump,74254.86599999949,74254.86599999949,0.0,0.0,18000.0,18000.0,0.0,1734.1611769663978,1.305771383352863,1735.4669483497507,3.6561598733880163,0.0036561598733880164,115384,medium,6503,1200,none_cold_climate_hp
Air Sealing,Gas Furnace,74254.86599999949,66829.37939999954,10.0,600.0,0.0,600.0,48.14555231441477,0.0,1.002440690999993,49.14799300541476,4.427446385249969,0.004427446385249969,115384,medium,6503,1200,air_seal_none
Air Sealing,Standard Heat Pump,74254.86599999949,66829.37939999954,10.0,600.0,12000.0,12600.0,48.14555231441477,1156.1074513109318,1.4689928062719713,1205.7219964316184,4.113179857561519,0.004113179857561519,115384,medium,6503,1200,air_seal_standard_hp
Air Sealing,Cold Climate Heat Pump,74254.86599999949,66829.37939999954,10.0,600.0,18000.0,18600.0,48.14555231441477,1734.1611769663978,1.175194245017577,1783.48192352583,3.2905438860492153,0.0032905438860492153,115384,medium,6503,1200,air_seal_cold_climate_hp
Attic Insulation,Gas Furnace,74254.86599999949,63116.636099999574,15.0,1800.0,0.0,1800.0,117.09258314449782,0.0,0.9467495414999936,118.03933268599782,4.181477141624971,0.004181477141624972,115384,medium,6503,1200,attic_insulation_none
Attic Insulation,Standard Heat Pump,74254.86599999949,63116.636099999574,15.0,1800.0,12000.0,13800.0,117.09258314449782,1156.1074513109318,1.3873820948124174,1274.587416550242,3.8846698654747684,0.0038846698654747686,115384,medium,6503,1200,attic_insulation_standard_hp
Attic Insulation,Cold Climate Heat Pump,74254.86599999949,63116.636099999574,15.0,1800.0,18000.0,19800.0,117.09258314449782,1734.1611769663978,1.109905675849934,1852.3636657867455,3.107735892379815,0.003107735892379815,115384,medium,6503,1200,attic_insulation_cold_climate_hp
No Retrofit,Gas Furnace,71375.56299999956,71375.56299999956,0.0,0.0,0.0,0.0,0.0,0.0,1.0706334449999932,1.0706334449999932,4.72863104874997,0.004728631048749971,101160,medium,2047,2700,none_none
No Retrofit,Standard Heat Pump,71375.56299999956,71375.56299999956,0.0,0.0,12000.0,12000.0,0.0,1156.1074513109318,0.8965277549824094,1157.003979065914,2.5102777139507464,0.0025102777139507466,101160,medium,2047,2700,none_standard_hp
No Retrofit,Cold Climate Heat Pump,71375.56299999956,71375.56299999956,0.0,0.0,18000.0,18000.0,0.0,1734.1611769663978,0.7844617856096082,1734.9456387520074,2.196492999706903,0.002196492999706903,101160,medium,2047,2700,none_cold_climate_hp
Air Sealing,Gas Furnace,71375.56299999956,64238.00669999961,10.0,1350.0,0.0,1350.0,108.32749270743324,0.0,0.9635701004999941,109.29106280793323,4.255767943874974,0.004255767943874974,101160,medium,2047,2700,air_seal_none
Air Sealing,Standard Heat Pump,71375.56299999956,64238.00669999961,10.0,1350.0,12000.0,13350.0,108.32749270743324,1156.1074513109318,0.8068749794841685,1265.2418189978491,2.259249942555672,0.0022592499425556716,101160,medium,2047,2700,air_seal_standard_hp
Air Sealing,Cold Climate Heat Pump,71375.56299999956,64238.00669999961,10.0,1350.0,18000.0,19350.0,108.32749270743324,1734.1611769663978,0.7060156070486475,1843.1946852808796,1.9768436997362129,0.001976843699736213,101160,medium,2047,2700,air_seal_cold_climate_hp
Attic Insulation,Gas Furnace,71375.56299999956,60669.22854999963,15.0,4050.0,0.0,4050.0,263.4583120751201,0.0,0.9100384282499943,264.3683505033701,4.0193363914374745,0.0040193363914374745,101160,medium,2047,2700,attic_insulation_none
Attic Insulation,Standard Heat Pump,71375.56299999956,60669.22854999963,15.0,4050.0,12000.0,16050.0,263.4583120751201,1156.1074513109318,0.762048591735048,1420.327811977787,2.1337360568581345,0.0021337360568581343,101160,medium,2047,2700,attic_insulation_standard_hp
